Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1078360,-,-,-,43.65,-79.42,-5,109,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2013,1,1,0,0,0,0,0,0,0,0,4,-4,158.87,0,0.866,6.9,0.501,298.8,78.59,-1,990,0.0000,0.0000,N/A
2013,1,1,0,30,0,0,0,0,0,0,1,-4,159.25,0,0.866,6.7,0.496,298.8,78.60000000000001,-1,990,0.0000,0.0000,N/A
2013,1,1,1,0,0,0,0,0,0,0,1,-4,157.84,0,0.866,6.6000000000000005,0.491,303,80.68,-2,990,0.0000,0.0000,N/A
2013,1,1,1,30,0,0,0,0,0,0,4,-4,154.94,0,0.866,6.5,0.487,303,80.71000000000001,-2,990,0.0000,0.0000,N/A
2013,1,1,2,0,0,0,0,0,0,0,4,-5,151.01,0,0.866,6.4,0.483,306.2,76.85000000000001,-2,990,0.0000,0.0000,N/A
2013,1,1,2,30,0,0,0,0,0,0,4,-5,146.43,0,0.866,6.2,0.47900000000000004,306.2,76.86,-2,990,0.0000,0.0000,N/A
2013,1,1,3,0,0,0,0,0,0,0,7,-6,141.45000000000002,0,0.866,6.1000000000000005,0.47600000000000003,309.70000000000005,74.07000000000001,-2,1000,0.0000,0.0000,N/A
2013,1,1,3,30,0,0,0,0,0,0,7,-6,136.23,0,0.866,6,0.468,309.70000000000005,74.08,-2,1000,0.0000,0.0000,N/A
2013,1,1,4,0,0,0,0,0,0,0,1,-6,130.88,0,0.866,6,0.46,316.3,77.47,-3,1000,0.0000,0.0000,N/A
2013,1,1,4,30,0,0,0,0,0,0,4,-6,125.47,0,0.866,6,0.448,316.3,77.48,-3,1000,0.0000,0.0000,N/A
